instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,Spring,2011,1,Non Holiday,Saturday,Non-Working Day,Mist,34,36,80,16,331,654,985
2,2011-01-02,Spring,2011,1,Non Holiday,Sunday,Non-Working Day,Mist,36,35,69,24,131,670,801
3,2011-01-03,Spring,2011,1,Non Holiday,Monday,Working Day,Clear,19,18,43,24,120,1229,1349
4,2011-01-04,Spring,2011,1,Non Holiday,Tuesday,Working Day,Clear,20,21,59,16,108,1454,1562
5,2011-01-05,Spring,2011,1,Non Holiday,Wednesday,Working Day,Clear,22,22,43,18,82,1518,1600
6,2011-01-06,Spring,2011,1,Non Holiday,Thursday,Working Day,Clear,20,23,51,8,88,1518,1606
7,2011-01-07,Spring,2011,1,Non Holiday,Friday,Working Day,Mist,19,20,49,16,148,1362,1510
8,2011-01-08,Spring,2011,1,Non Holiday,Saturday,Non-Working Day,Mist,16,16,53,26,68,891,959
9,2011-01-09,Spring,2011,1,Non Holiday,Sunday,Non-Working Day,Clear,13,11,43,36,54,768,822
10,2011-01-10,Spring,2011,1,Non Holiday,Monday,Working Day,Clear,15,15,48,22,41,1280,1321
11,2011-01-11,Spring,2011,1,Non Holiday,Tuesday,Working Day,Mist,16,19,68,12,43,1220,1263
12,2011-01-12,Spring,2011,1,Non Holiday,Wednesday,Working Day,Clear,17,16,59,30,25,1137,1162
13,2011-01-13,Spring,2011,1,Non Holiday,Thursday,Working Day,Clear,16,15,47,30,38,1368,1406
14,2011-01-14,Spring,2011,1,Non Holiday,Friday,Working Day,Clear,16,18,53,12,54,1367,1421
15,2011-01-15,Spring,2011,1,Non Holiday,Saturday,Non-Working Day,Mist,23,24,49,15,222,1026,1248
16,2011-01-16,Spring,2011,1,Non Holiday,Sunday,Non-Working Day,Clear,23,23,48,18,251,953,1204
17,2011-01-17,Spring,2011,1,Holiday,Monday,Non-Working Day,Mist,17,17,53,19,117,883,1000
18,2011-01-18,Spring,2011,1,Non Holiday,Tuesday,Working Day,Mist,21,23,86,14,9,674,683
19,2011-01-19,Spring,2011,1,Non Holiday,Wednesday,Working Day,Mist,29,29,74,20,78,1572,1650
20,2011-01-20,Spring,2011,1,Non Holiday,Thursday,Working Day,Mist,26,25,53,19,83,1844,1927
21,2011-01-21,Spring,2011,1,Non Holiday,Friday,Working Day,Clear,17,15,45,35,75,1468,1543
22,2011-01-22,Spring,2011,1,Non Holiday,Saturday,Non-Working Day,Clear,5,7,40,17,93,888,981
23,2011-01-23,Spring,2011,1,Non Holiday,Sunday,Non-Working Day,Clear,9,9,43,24,150,836,986
24,2011-01-24,Spring,2011,1,Non Holiday,Monday,Working Day,Clear,9,11,49,15,86,1330,1416
25,2011-01-25,Spring,2011,1,Non Holiday,Tuesday,Working Day,Mist,22,23,61,12,186,1799,1985
26,2011-01-26,Spring,2011,1,Non Holiday,Wednesday,Working Day,Light Precipitation,21,20,86,29,34,472,506
27,2011-01-27,Spring,2011,1,Non Holiday,Thursday,Working Day,Clear,19,21,68,11,15,416,431
28,2011-01-28,Spring,2011,1,Non Holiday,Friday,Working Day,Mist,20,22,79,12,38,1129,1167
29,2011-01-29,Spring,2011,1,Non Holiday,Saturday,Non-Working Day,Clear,19,21,65,14,123,975,1098
